Index	Tanggal	Kategori	Tema	Pertanyaan	Jawaban	Dasar Hukum	Editor
180050	18 Agustus 2022	Tanya-SC	KUP	jika angka kompensasi PPN LB tahun 2020 di SKP lebih besar dari yang telah dikompensasikan di SPT, apakah dapat dilakukan pembetulan untuk membetulkan nilai PPN LB yg dapat dikompensasikan pada SPT PPN tahun 2021?	apakah yang dimaksud ini sesuai Pasal 67 dan 68 PMK 18/ 2021? jika iya, arahkan sesuai pasal2 tersebut saja.. ada contoh kasuse di lampiran XVIII dan XIX.. bisa diarahkan ke KPP	apakah yang dimaksud ini sesuai Pasal 67 dan 68 PMK 18/ 2021? jika iya, arahkan sesuai pasal2 tersebut saja.. ada contoh kasuse di lampiran XVIII dan XIX.. bisa diarahkan ke KPP	SIGIT RAHARJO
180051	18 Agustus 2022	Tanya-SC	E-Faktur	wp membatalkan faktur pajak masukan yang sdh approval sukses, apakah atas faktut masukan tersebut dapat dikreditkan lagi? kata wp statusnya approval sukses	Nahh berarti belum batal mba Masih bisa dikreditkan harusnya	Nahh berarti belum batal mba Masih bisa dikreditkan harusnya	ANDREW BENJAMIN SIHOMBING
180052	18 Agustus 2022	Tanya-SC	PPh	pasal 7 ayat 1 KEP-537/2000 cara hitungnya gimana?	gak dijelasin, harusnya pake hitungan perkiraan dari WP, jika butuh penegasan, konfirm KPP	gak dijelasin, harusnya pake hitungan perkiraan dari WP, jika butuh penegasan, konfirm KPP	FERY DWI FEBRIANTO
180053	18 Agustus 2022	Tanya-SC	E-Faktur	etax 50030 sppbmcp tidak ditemukan	pastikan kevalidan dokumen dan NTPN nya	pastikan kevalidan dokumen dan NTPN nya	FERY DWI FEBRIANTO
180054	18 Agustus 2022	Tanya-SC	DJP Online	rekam bupot pp 23 di ebuni	tetap di rekam dan jangan lupa masukan suketnya, untuk bupotnya menggunakan ssp dengan npwp lain seperti biasa, dan nilai kb dari pemotongan tadi tidak akan menambah akumulasi kb di induk ebuni	tetap di rekam dan jangan lupa masukan suketnya, untuk bupotnya menggunakan ssp dengan npwp lain seperti biasa, dan nilai kb dari pemotongan tadi tidak akan menambah akumulasi kb di induk ebuni	RIZKI SAFARI
180055	18 Agustus 2022	Tanya-SC	PPN	syarat pemusatan ppn	http://tkb-djp/tkb/engine/learning3/view.php?id=5772	http://tkb-djp/tkb/engine/learning3/view.php?id=5772	LUQMAN RAMADHAN
180056	18 Agustus 2022	Tanya-SC	PPh	Direktur PT di Indonesia memanfaatkan jasa notaris di Singapura. Notarisnya mengirimkan invoice ke PT di Indonesia. Apakah dikenai PPh?	Dikenai PPh pasal 26 atau sesuai P3B jika ada DGT.	Dikenai PPh pasal 26 atau sesuai P3B jika ada DGT.	NIKEN PRATIWI
180057	18 Agustus 2022	Tanya-SC	PPN	DPP PPN pada PEB apa?	Nilai Ekspor adalah nilai berupa uang, termasuk semua biaya yang diminta atau seharusnya diminta oleh eksportir.	Nilai Ekspor adalah nilai berupa uang, termasuk semua biaya yang diminta atau seharusnya diminta oleh eksportir.	FERY DWI FEBRIANTO
180058	18 Agustus 2022	Tanya-SC	PPN	melakukan pembelian mobil dari lelang dia ada objek PPN gak ya?	tergantung posiis si yang menyerahkan siapa	tergantung posiis si yang menyerahkan siapa	MUHAMMAD INDRA PRASETYO
180059	18 Agustus 2022	Tanya-SC	PPh	pt berisi seniman apakah bisa pakai pp 23?	http://tkb-djp/tkb/engine/learning3/view.php?id=5743	http://tkb-djp/tkb/engine/learning3/view.php?id=5743	LUQMAN RAMADHAN
180060	18 Agustus 2022	Tanya-SC	PPN	wp penjual transaksi penjual membatalkan FP sudah dikreditkan, pembelinya gak mau membatalkan ini gimana?	sampaikan kalo ada implikasinya ke pemeriksaan	sampaikan kalo ada implikasinya ke pemeriksaan	MUHAMMAD INDRA PRASETYO
180061	18 Agustus 2022	Tanya-SC	KUP	saya sudah mencoba masuk ke ereg.pajak dan saya terhenti karena tidak ada pipihan pt perorangan pilihan hanya perseroan terbatas (PT) dan perseroan lainnya. saya harus pilih yg mana? Mohon bantuannya mas/mba	tetep arahkan mendaftar PT, sbenernya nanti dilakukan pada menu pendaftaran Perseroan Perorangan. Dalam hal menu pendaftaran Perseroan Perorangan belum tersedia, Wajib Pajak dapat menggunakan menu pendaftaran Wajib Pajak badan. Syarat pendaftaran Perseroan Perorangan berupa dokumen sertifikat pendaftaran secara elektronik dilakukan dengan memasukkan nomor dokumen sertifikat dimaksud pada elemen nomor dokumen pendirian.	tetep arahkan mendaftar PT, sbenernya nanti dilakukan pada menu pendaftaran Perseroan Perorangan. Dalam hal menu pendaftaran Perseroan Perorangan belum tersedia, Wajib Pajak dapat menggunakan menu pendaftaran Wajib Pajak badan. Syarat pendaftaran Perseroan Perorangan berupa dokumen sertifikat pendaftaran secara elektronik dilakukan dengan memasukkan nomor dokumen sertifikat dimaksud pada elemen nomor dokumen pendirian.	RAKADISTI ANANDA DWIRACHMAN
180062	18 Agustus 2022	Tanya-SC	E-Faktur	cara menginput notul PIB, itu bagaimana? ada notul karna menurut beacukai harga barangnya lebih besar dari PIB sebelumnya pak mas mba, ini inputnya di dok.lain pajak masukan kemudian no dokumennya 6 digit setelah sptnp/spktnp # NTPN bukan ya?	iya betul seperti itu	iya betul seperti itu	SIGIT RAHARJO
180063	18 Agustus 2022	Tanya-SC	E-SPT	Saya sudah melaporkan SPT PPh Pasal 21 bulan sebelumnya dgn status Lebih bayar Rp 1.118.668,- setelah dicek kembali ada kesalahan hitung lebih bayar tsb menjadi sebesar Rp 1.059.168,- (LB menjadi lebih kecil). Pada saat membuat SPT PPh 21 pembetulan, timbul selisih Rp 59.500,- yang sebelumnya dianggap lebih bayar menjadi Kurang Bayar. Pertanyaan : 1. Apakah kekurangan bayar tersebut diabaikan saja? karena pada saat kami cek pada Menu Daftar SPP (e-SPT) statusnya sdh lebih bayar sebesar Rp 1.059.168,-. 2. Terkait adanya Lebih Bayar sebesar Rp 1.059.168,- di Menu Daftar SPP (e-SPT), namun tidak bisa melakukan kompensasi pada Menu SPT Induk Pembetulan. Apakah kami boleh langsung mengakui lebih bayar sebesar Rp 1.059.168,- (sesuai SPT Pembetulan) pada SPT Masa berikutnya ? 3. Apakah ada contoh kasus pengisian beserta dasar hukumnya, misal seperti PER-29/2015 untuk SPT Masa PPN?	1. KB yang timbul harus tetap dibayar 2. Apabila sudah menyetorkan KB nya, bisa akui kompensasi sebesanr 1.118.668 3. Untuk saat ini masih per 14/2013, belum ada per terbaru	1. KB yang timbul harus tetap dibayar 2. Apabila sudah menyetorkan KB nya, bisa akui kompensasi sebesanr 1.118.668 3. Untuk saat ini masih per 14/2013, belum ada per terbaru	DEDY FERY VERDIAN
180064	18 Agustus 2022	Tanya-SC	E-Faktur	PIB dia udah kreditin PM nya trus ada kesalahan mau dikembalikan credit note.	konfirmasi ke KPP aja	konfirmasi ke KPP aja	MUHAMMAD INDRA PRASETYO
180065	18 Agustus 2022	Tanya-SC	Lainnya	# 37 Q apabila saya mau mengetahui rasio benchmarking untuk klu 51900 ini bisa saya dapat di nomor peraturan yang mana ya?	Total benchmarking hanya merupakan suatu alat bantu (supporting tools) yang dapat digunakan oleh aparat pajak dalam membina wajib pajak dan menilai kepatuhan perpajakannya serta tidak dapat digunakan secara langsung sebagai dasar penerbitan surat ketetapan pajak. Ini biasanya dipakai pegawe pajak, kalau sampe SE penetapan tahap V belum ada untuk KLU yang ditanyakan. Arahkan ke KPP ya	Total benchmarking hanya merupakan suatu alat bantu (supporting tools) yang dapat digunakan oleh aparat pajak dalam membina wajib pajak dan menilai kepatuhan perpajakannya serta tidak dapat digunakan secara langsung sebagai dasar penerbitan surat ketetapan pajak. Ini biasanya dipakai pegawe pajak, kalau sampe SE penetapan tahap V belum ada untuk KLU yang ditanyakan. Arahkan ke KPP ya	DEDY FERY VERDIAN
180066	18 Agustus 2022	Tanya-SC	PPh	Kalau P3B tuh bukannya pasti akan bebas PPh di Indonesia ya?	Belum tentu. Ada beberapa objek yang manfaat P3B-nya adalah tarif yang lebih rendah misalnya bunga, royalti, dividen. Dan ada juga manfaat gak dipajaki di Indonesia misalnya business profit.	Belum tentu. Ada beberapa objek yang manfaat P3B-nya adalah tarif yang lebih rendah misalnya bunga, royalti, dividen. Dan ada juga manfaat gak dipajaki di Indonesia misalnya business profit.	NIKEN PRATIWI
180067	18 Agustus 2022	Tanya-SC	E-SPT	selamat siang, sebelumnya saya pernah bertanya mengenai lebih bayar yg ingin dirubah masa kompensasinya dan disarankan melakukan SPT pembetulan, bagaimana cara buat spt pembetulannya? saya coba opsi pertama malah jadi nol dan mati poin 18 nya	DIpandu untuk pembetulan masa sept 2020 untuk mengakui kompensasi dari agustus 2020 dan berhasil muncul LB sebesar yang dikompensasikan di pembetulan sep 2020	DIpandu untuk pembetulan masa sept 2020 untuk mengakui kompensasi dari agustus 2020 dan berhasil muncul LB sebesar yang dikompensasikan di pembetulan sep 2020	DEDY FERY VERDIAN
180068	18 Agustus 2022	Tanya-SC	PPN	mas/mba, untuk tagihan listrik diluar service charge yang ditagihkan pemilik gedung ke penyewa, apakah nantinya tidak dikenakan ppn?	Kalau tagihan listriknya yang dimaksud masih masuk dalam definisi balas jasa yang menyebabkan ruangan yang disewa dapat dihuni sesuai dengan tujuan yang diinginkan penyewa, maka merupakan service charge dan kena PPN. Kalau tidak ada sangkut pautnya dengan persewaan, maka bisa diarahkan ke PMK 115/2021	Kalau tagihan listriknya yang dimaksud masih masuk dalam definisi balas jasa yang menyebabkan ruangan yang disewa dapat dihuni sesuai dengan tujuan yang diinginkan penyewa, maka merupakan service charge dan kena PPN. Kalau tidak ada sangkut pautnya dengan persewaan, maka bisa diarahkan ke PMK 115/2021	DEDY FERY VERDIAN
180069	18 Agustus 2022	Tanya-SC	KUP	WP Cabang bisa update KLU di djp online? WP cabang dibagian KLU ga bisa di klik.	Tidak bisa lewat djponline kalau cabang, diarahakan perubahan data sesuai PER04 ke KPP	Tidak bisa lewat djponline kalau cabang, diarahakan perubahan data sesuai PER04 ke KPP	DEDY FERY VERDIAN
180070	18 Agustus 2022	Tanya-SC	KUP	wp ada lebih dari satu kegiatan usaha. KLU menggunakan yang mana ? dasar hukum ?	kegiatan usaha utama SE-03/2013 Penentuan KLU bagi Wajib Pajak yang memiliki lebih dari satu kegiatan ekonomi didasarkan pada kegiatan ekonomi yang dominan	kegiatan usaha utama SE-03/2013 Penentuan KLU bagi Wajib Pajak yang memiliki lebih dari satu kegiatan ekonomi didasarkan pada kegiatan ekonomi yang dominan	ALVI FARIZAL
180071	18 Agustus 2022	Tanya-SC	PPh	BUT bisa pake pasal 31E ?	tidak. SE-02/2015 Bentuk usaha tetap merupakan subjek pajak luar negeri, sehingga tidak mendapat fasilitas berupa pengurangan tarif sebagaimana dimaksud dalam Pasal 31 E ayat (1) Undang-Undang Pajak Penghasilan	tidak. SE-02/2015 Bentuk usaha tetap merupakan subjek pajak luar negeri, sehingga tidak mendapat fasilitas berupa pengurangan tarif sebagaimana dimaksud dalam Pasal 31 E ayat (1) Undang-Undang Pajak Penghasilan	ALVI FARIZAL
180072	18 Agustus 2022	Tanya-SC	PPh	Dari pagi laporan realisasi PPh 25 error akhirnya saya setorkan sendiri 100% tapi sore ini dicoba malah bisa, gimana ya?	Bisa dikreditkan 100% tersebut di SPT Tahunan tidak ada ketentuan yang melarang, kalo memang mau menggunakan PMK-114/2022 ini bisa sarankan pbk atatu PMK-187/2015	Bisa dikreditkan 100% tersebut di SPT Tahunan tidak ada ketentuan yang melarang, kalo memang mau menggunakan PMK-114/2022 ini bisa sarankan pbk atatu PMK-187/2015	ANNAS KURNIA RAMADHAN
180073	18 Agustus 2022	Tanya-SC	PPN	cara pelaporan bukti pembayran agen asuransi di spt ppn	http://tkb-djp/tkb/engine/peraturan/view.php?id=ff328be2f8736ee3709a537622dc4f90&str=&q_do=match	http://tkb-djp/tkb/engine/peraturan/view.php?id=ff328be2f8736ee3709a537622dc4f90&str=&q_do=match	LUQMAN RAMADHAN
180074	18 Agustus 2022	Tanya-SC	PPN	pembebasan ppn tiket angkutan darat	masuk pasal 16B UU PPN sttd UU HPP	masuk pasal 16B UU PPN sttd UU HPP	LUQMAN RAMADHAN
180075	18 Agustus 2022	Tanya-SC	PPh	Ebupot unifikasi	PER-24/PJ/2021	PER-24/PJ/2021	FADHIL MAULANA MARUF SW
180076	18 Agustus 2022	Tanya-SC	E-Faktur	Agen asuransi mengukuhkan sendiri sebagai PKP ada sertel ada kode aktivasi, atas invoice dari persusahaan tetap direkam di efaktur?	Bisa direkam di dokumen lain pajak keluaran, penyrahan dengan menggunakan dokumen tertentu, normal, penyerahan kepada pemungut selain bendaharawan, dokumen dipersamakan dengan faktur pajak	Bisa direkam di dokumen lain pajak keluaran, penyrahan dengan menggunakan dokumen tertentu, normal, penyerahan kepada pemungut selain bendaharawan, dokumen dipersamakan dengan faktur pajak	ANNAS KURNIA RAMADHAN
180077	18 Agustus 2022	Tanya-SC	PPh	Notaris gak terikat hubungan kerja dengan perusahaan di Indonesia. Menerima penghasilan dari Indonesia. P3B-nya gimana?	Pasal 14 angka 1 P3B Indo-Singapura.	Pasal 14 angka 1 P3B Indo-Singapura.	NIKEN PRATIWI
180078	18 Agustus 2022	Tanya-SC	PPh	Panitia umroh memberikan hadiah paket umroh dan barang kepada peserta. Pajak ditanggung siapa ya? Meskipun barang dibeli dan dikirim lsg dari toko ke pemenang.	Kalau tanya PPh. Secara umum yang memiliki kewajiban PPh, yang menerima penghasilan, dalam hal ini penerima hadiah.	Kalau tanya PPh. Secara umum yang memiliki kewajiban PPh, yang menerima penghasilan, dalam hal ini penerima hadiah.	DEDY FERY VERDIAN
180079	18 Agustus 2022	Tanya-SC	PPh	mas/mba kalo IP sewa rumah ke OP dia potong pph 4a2 kan ya?	iya, kecuali hal yang dikecualikan dalam pasal 9 PMK-59/2022	iya, kecuali hal yang dikecualikan dalam pasal 9 PMK-59/2022	DEDY FERY VERDIAN
180080	18 Agustus 2022	Tanya-SC	PPN	rekanan memberikan jasa ke polri, itu masuk ke pasal 4A ayat 3 huru m?	kalo pasal 4A ayat 3 huruf m itu jasa yang disediakan oleh pemerintah, jadi yang menyerahkan jasanya adalah pemerintah	kalo pasal 4A ayat 3 huruf m itu jasa yang disediakan oleh pemerintah, jadi yang menyerahkan jasanya adalah pemerintah	FERY DWI FEBRIANTO
180081	18 Agustus 2022	Tanya-SC	PPh	#16Q: WP transaksi dengan PT atas jasa training, untuk transaksi tersebut WP harus membayar annual membership fee yang terpisah dari pembayaran jasa trainingnya. Apakah annual fee tersebut dipotong pph 23 mas/mbak?	#16A: PM, jika pembayaran fee tsb tidak terkait pemberian jasa, maka bukan objek potput PPh 23 atas jasa. Nantinya penghasilan tsb akan diperhitungkan di SPT Tahunan.	#16A: PM, jika pembayaran fee tsb tidak terkait pemberian jasa, maka bukan objek potput PPh 23 atas jasa. Nantinya penghasilan tsb akan diperhitungkan di SPT Tahunan.	BUDIMAN CAHYADI WINARSO
180082	18 Agustus 2022	Tanya-SC	PPh	#4Q dalam PMK NOMOR 70/PMK.03/2022 bahwa yang termasuk kriteria jasa tata boga/katering terdapat di pasal 4 ayat (3). jika pemilik katering ini hanya memiliki <5 orang karyawan apakah bisa dipotong dengan tarif 2%? lalu jika pemilik katering itu tidak memiliki karyawan apakah termasuk pph 21?	#4A: PM, WP off. Dijelaskan pengenaan PPh pada umumnya.	#4A: PM, WP off. Dijelaskan pengenaan PPh pada umumnya.	BUDIMAN CAHYADI WINARSO
180083	18 Agustus 2022	Tanya-SC	PPh	"""#10 Q: Twitt: mau bertanya jika ada konsultan hukum memiliki rekanan, apakah pajak PPh 23 yang dikenakan boleh menggunakan identitas NIK rekanannya atau harus NPWP konsultan hukum tsb? Ini perlu digali dulu gak ya mas/mba? Rekanan tsb WP Badan atau WP OP? Kalau WP OP boleh kan ya menggunakan NIK? https://twitter.com/GTrisapto/status/1560157401403523072"""	#10A: Betul, digali dulu ya mas Fauzi, transaksi nya sebenarnya sama Konsultan atau Rekanan Konsultan? Pemotongan nya nanti berdasarkan lawan transaksinya tadi ya, apakah OP atau Badan untuk menentukan objek PPh potput 21/23 nya. Yang jelas jika Badan maka wajib ber-NPWP, sedangkan untuk OP jika belum ber-NPWP, maka dapat menggunakan NIK.	#10A: Betul, digali dulu ya mas Fauzi, transaksi nya sebenarnya sama Konsultan atau Rekanan Konsultan? Pemotongan nya nanti berdasarkan lawan transaksinya tadi ya, apakah OP atau Badan untuk menentukan objek PPh potput 21/23 nya. Yang jelas jika Badan maka wajib ber-NPWP, sedangkan untuk OP jika belum ber-NPWP, maka dapat menggunakan NIK.	BUDIMAN CAHYADI WINARSO
180084	18 Agustus 2022	Tanya-SC	PPh	#28Q saya mau nanya saya kan mau jual rumah harus buat pph jual. kebetulan saya punya 2 npwp, pusat dan cabang, kira-kira saya harus pakai yg mana ya untuk membuat id billingnya? npwp pusat saya itu sesuai alamat KTP, yang cabang itu sesuai lokasi usaha saya. alamat sesuai KTP saya di Pejagalan, Penjaringan. rumah yg dijual di Pantai indah kapuk. lokasi usaha saya di harco mangga dua. Usaha yang dilakukan tidak berhubungan dengan pengalihan tanah dan bangunan	#28A: terutang di NPWP Pusat ya sesuai pasal 7 ayat 2 PMK 261/2016. Jadi pakai NPWP Pusatnya.	#28A: terutang di NPWP Pusat ya sesuai pasal 7 ayat 2 PMK 261/2016. Jadi pakai NPWP Pusatnya.	BUDIMAN CAHYADI WINARSO
180085	18 Agustus 2022	Tanya-SC	PPh	40Q mau tanya mas/mba, format bukti pungut PPh Pasal 22 Penjualan Barang yang Tergolong Sangat Mewah itu ada diketentuan nomer brp ya? lapornya lewat ebuni kan ya?	##40A: betul mbak, untuk PPh 22 saat ini dilaporkan via eBuni ya. Format bukpotnya mengikuti format di lampiran PER 24/2021 ya.	##40A: betul mbak, untuk PPh 22 saat ini dilaporkan via eBuni ya. Format bukpotnya mengikuti format di lampiran PER 24/2021 ya.	BUDIMAN CAHYADI WINARSO
180086	18 Agustus 2022	Tanya-SC	DJP Online	eBuni, bukpot salah input NPWP dan SPT sudah dilaporkan	Batalkan bukpot lalu buat baru dengan NPWP yang sesuai.	Batalkan bukpot lalu buat baru dengan NPWP yang sesuai.	BUDIMAN CAHYADI WINARSO
180087	18 Agustus 2022	Tanya-SC	E-Faktur	#52Q: WP input notul tapi reject keterangan ETAX-API-50031:Not Found . sudah pastikan NTPN yang diinput benar dan format penulisan no dokumen benar, gimana ya mas/mba?	#52A: PM, dipastikan format pengisian sesuai. Pengecekkan lebih lanjut terkait data2 PIB diarahkan ke pengaduan.	#52A: PM, dipastikan format pengisian sesuai. Pengecekkan lebih lanjut terkait data2 PIB diarahkan ke pengaduan.	BUDIMAN CAHYADI WINARSO
180088	18 Agustus 2022	Tanya-SC	DJP Online	Twitt: Terkait insentif PPh Pasal 25 sudah mendapatkan pemberitahuan berhak memanfaatkan insentif PPh Pasal 25 pada tanggal 9/08/2022. Namun ketika lapor masa Juli 2022 tidak bisa. Apakah saat ini masih ada kendala mas/mba? https://twitter.com/otirasnat/status/1560157828350111745	kemungkinan WP pemberitahuan sebelum batas 30 hari sejak pmk-114 diundangkan, wp diarahkan untuk coba berkala	kemungkinan WP pemberitahuan sebelum batas 30 hari sejak pmk-114 diundangkan, wp diarahkan untuk coba berkala	FADHIL DWI YULIAN
180089	18 Agustus 2022	Tanya-SC	PPN	jika ada representative office yang SIUPnya hanya pemasaran saja dan ingin menjual aset yang semula tidak untuk diperjualbelikan apakah boleh? jika boleh aspek perpajakannya bagaimana? atau tidak ada aspek perpajakannya karena RO?	RO sebagai WPLN bukan PKP tidak melakukan pemugutan PPN	RO sebagai WPLN bukan PKP tidak melakukan pemugutan PPN	FADHIL DWI YULIAN
180090	18 Agustus 2022	Tanya-SC	PPN	mas/mba, wp sebelumnya ada cabang di pluit, namun sekarang dipindahkan ke tebet (pusat). sedang proses aktivasi akun di tebet, tp dimintakan untuk melakukan penyetoran atas ppn yg belum disetor untuk bulan juni, apakah selama proses aktivasi akun tersebut untuk penerbitan fp menggunakan npwp yg di pluit, bagaimana dgn nsfp nya	untuk transaksi yang dilakukan oleh cabang di tebet maka FP harus menggunakan NPWP dan alamat cabang di tebet (tidak pemusatan PPN)	untuk transaksi yang dilakukan oleh cabang di tebet maka FP harus menggunakan NPWP dan alamat cabang di tebet (tidak pemusatan PPN)	FADHIL DWI YULIAN
